A,C,B,E,D,F,H,mu__0,sigma_log_,sigma
224.469416934,-5.45182277448,-0.464591678931,700.0,-50.0,300.0,-0.502286575676,162.141501857,-2.78859425473,0.0615076172124
224.469416934,-5.45182277448,-0.744166514185,700.0,-52.280128786,300.0,-0.502286575676,157.5573122,-2.45519734155,0.0858462527365
224.469416934,-5.45182277448,-1.67069838261,700.764772873,-52.4081028247,300.0,-0.502286575676,145.316658999,-1.30061122429,0.27236526588
224.469416934,-5.45182277448,-1.67069838261,701.104280654,-52.4081028247,300.0,-0.502286575676,145.30774596,-1.30061122429,0.27236526588
223.355924454,-5.45182277448,-1.67069838261,701.657909918,-54.5854011794,298.990972298,-1.51324601711,135.09372276,-0.523810714616,0.592259311029
223.270720929,-5.45182277448,-1.67069838261,703.001820112,-54.5854011794,298.32075804,-1.51324601711,134.694133151,-0.523810714616,0.592259311029
223.270720929,-5.45182277448,-0.526066780431,703.245830073,-54.8557180375,297.207292617,-1.51324601711,127.839850424,0.262371242354,1.30000907128
223.270720929,-5.45182277448,0.0793916076532,703.473788025,-56.5143264557,296.322005485,-1.51324601711,126.750817451,0.262371242354,1.30000907128
221.666861535,-4.89481253863,-0.375545516539,703.473788025,-56.5143264557,295.835093425,-1.51324601711,122.800900635,0.262371242354,1.30000907128
221.666861535,-4.89481253863,-0.375545516539,704.658096631,-57.9683762247,295.386835555,-1.51324601711,122.177645746,0.262371242354,1.30000907128
221.332607819,-4.89481253863,-0.375545516539,704.483439997,-57.9683762247,295.386835555,-1.51324601711,122.003384222,1.48241932408,4.40358650679
220.772256864,-4.89481253863,-0.375545516539,704.174368326,-57.9683762247,295.178006834,-1.51324601711,121.614320964,1.48241932408,4.40358650679
217.553950322,-4.89481253863,-0.375545516539,706.122386051,-57.9175583695,294.28255196,-1.51324601711,119.417788457,1.48241932408,4.40358650679
217.622590609,-4.89481253863,-0.375545516539,706.040478183,-58.0790017235,293.704132929,-1.51324601711,119.146408148,1.02618597075,2.7904028351
216.29601425,-4.89481253863,-0.375545516539,705.981835446,-58.7284870134,293.704132929,-1.51324601711,118.279424207,1.02618597075,2.7904028351
214.029257871,-4.06080336,-0.375545516539,706.252287022,-59.2052792942,293.12351218,-1.51324601711,114.664951391,1.02618597075,2.7904028351
213.7342744,-3.89479136499,-0.375545516539,706.127062907,-59.4130175414,293.035816567,-1.51324601711,114.483775766,1.02618597075,2.7904028351
212.177216446,-3.89479136499,-0.375545516539,706.127062907,-59.4130175414,292.623626867,-1.51324601711,113.465899314,1.02618597075,2.7904028351
211.353176547,-3.89479136499,0.0543209955629,706.127062907,-59.4130175414,292.623626867,-1.51324601711,113.032557712,1.02618597075,2.7904028351
211.353176547,-3.89479136499,0.0543209955629,707.484373385,-59.4130175414,292.623626867,-1.51324601711,112.984670616,1.02618597075,2.7904028351
